Attribute	Label	Weight
word.lower():blokkersvolk	B-MISC	1.430601
word.prefix2:d’	B-MISC	1.430169
word.prefix3:Waa	O	1.428599
bos	B-MISC	1.427827
word.prefix3:Ren	B-PER	1.426869
word.lower():iepman	B-PER	1.426502
word.prefix3:Iep	B-PER	1.426502
word.suffix2:oe	O	1.423881
word.lower():opèn	B-MISC	1.422417
word.suffix3:pèn	B-MISC	1.422417
word.prefix3:Opè	B-MISC	1.422417
next_word.lower():west	I-LOC	1.421801
word.suffix3:arm	B-PER	1.419051
word.lower():slotens	B-MISC	1.417244
next_word.lower():meulen	B-MISC	1.415765
word.lower():raguël	B-PER	1.415362
word.suffix3:uël	B-PER	1.415362
word.lower():tijs	B-PER	1.41464
word.prefix3:Tij	B-PER	1.41464
word.suffix3:lke	B-MISC	1.412047
word.lower():christus	B-PER	1.411292
next_word.lower():haiten	B-PER	1.409592
word.prefix2:Aa	O	1.407426
word.prefix2:Ne	B-MISC	1.406905
word.prefix3:Rou	B-PER	1.406657
word.prefix2:Gr	B-MISC	1.405583
word.lower():harm	B-PER	1.405555
word.lower():mousstroat	B-LOC	1.405475
word.lower():grönnegerland	O	1.403315
next_word.lower():karstdag	B-MISC	1.402908
word.prefix3:Men	B-ORG	1.40077
word.lower():van	I-PER	1.399044
next_word.lower():ôl	O	1.398786
next_word.lower():kampen	B-PER	1.39723
word.suffix2:ur	O	1.39686
next_word.lower():heurde	B-LOC	1.396128
word.lower():hemel	I-PER	1.394544
word.suffix3:vel	B-PER	1.393918
word.lower():blauw	B-PER	1.393856
prev_word.lower():wie	B-MISC	1.393826
word.prefix3:Loe	O	1.39333
word.lower():lommeke	B-MISC	1.391768
word.prefix3:Del	B-MISC	1.38979
word.suffix2:ul	I-ORG	1.385217
word.lower():jensema	B-PER	1.385141
word.prefix3:JEN	B-PER	1.385141
word.prefix2:JE	B-PER	1.385141
prev_word.lower():s.	B-PER	1.385141
word.prefix3:Oab	B-PER	1.385044
word.suffix3:oul	I-ORG	1.385011
word.lower():28sten	B-MISC	1.384403
word.wordshape():ddxxxx	B-MISC	1.384403
word.prefix2:zö	B-MISC	1.384154
word.lower():edelvrouwe	O	1.3815
word.prefix3:Ede	O	1.3815
prev_word.lower():j.	I-PER	1.379939
word.wordshape():Xxxxxxxxxxxxxxxxxx	B-LOC	1.379174
word.suffix3:erd	B-LOC	1.378796
word.lower():schutendaip	B-LOC	1.378675
word.lower():leo	B-PER	1.377742
word.suffix3:Leo	B-PER	1.377742
word.prefix3:Leo	B-PER	1.377742
prev_word.lower():mien	B-PER	1.377188
word.suffix3:ert	B-MISC	1.376544
word.suffix3:ten	B-PER	1.376198
prev_word.punct	I-PER	1.375936
word.suffix3:nen	I-LOC	1.375499
prev_word.lower():bestuur	I-MISC	1.375083
word.lower():tobit	B-PER	1.372708
word.suffix3:bit	B-PER	1.371498
word.suffix3:ema	B-PER	1.371476
word.suffix3:eek	O	1.371037
word.suffix2:ap	B-ORG	1.37061
word.lower():bart	B-PER	1.37058
word.lower():martinitoren	B-LOC	1.367818
word.prefix3:Wil	B-PER	1.366858
word.wordshape():XXXXXX	I-PER	1.364669
word.prefix3:Hen	B-PER	1.364204
word.suffix2:eo	B-PER	1.362984
word.suffix3:sum	B-LOC	1.362485
word.lower():kampengoa	I-PER	1.362074
word.prefix3:Sta	O	1.361768
word.lower():kiele	B-LOC	1.359365
word.suffix3:rke	B-PER	1.35875
prev_word.lower():herkenboare	B-LOC	1.358458
word.lower():garribaldi	B-PER	1.35809
word.suffix3:ldi	B-PER	1.35809
word.suffix2:di	B-PER	1.35809
word.prefix3:Gal	B-LOC	1.355587
next_word.lower():langs	B-MISC	1.354679
word.prefix3:Isr	B-MISC	1.353692
